region,cereal,year,gpi,change_rate
Eastern Africa,Wheat,2001,44.87,
Eastern Africa,Wheat,2002,41.86,-0.06708268330733225
Eastern Africa,Wheat,2003,46.51,0.1110845676063068
Eastern Africa,Wheat,2004,47.86,0.029026015910556868
Eastern Africa,Wheat,2005,60.4,0.26201420810697873
Eastern Africa,Wheat,2006,60.08,-0.005298013245033095
Eastern Africa,Wheat,2007,63.12,0.05059920106524629
Eastern Africa,Wheat,2008,56.6,-0.10329531051964502
Eastern Africa,Wheat,2009,71.61,0.2651943462897526
Eastern Africa,Wheat,2010,72.52,0.012707722385141729
Eastern Africa,Wheat,2011,71.37,-0.01585769442912288
Eastern Africa,Wheat,2012,85.66,0.20022418383074103
Eastern Africa,Wheat,2013,95.41,0.11382208732197063
Eastern Africa,Wheat,2014,96.72,0.013730216958390162
Eastern Africa,Wheat,2015,103.51,0.07020264681555011
Eastern Africa,Wheat,2016,99.77,-0.03613177470775775
Eastern Africa,Wheat,2017,100.98,0.012127894156560126
Eastern Africa,Wheat,2018,107.18,0.061398296692414256
Eastern Africa,Wheat,2019,118.32,0.10393730173539817
Eastern Africa,Wheat,2020,124.57,0.05282285327924274
Southern Africa,Wheat,2001,149.04,
Southern Africa,Wheat,2002,144.0,-0.033816425120772875
Southern Africa,Wheat,2003,91.9,-0.3618055555555555
Southern Africa,Wheat,2004,99.61,0.08389553862894439
Southern Africa,Wheat,2005,112.31,0.1274972392330087
Southern Africa,Wheat,2006,123.6,0.10052533167126687
Southern Africa,Wheat,2007,111.79,-0.0955501618122977
Southern Africa,Wheat,2008,125.02,0.11834690043832174
Southern Africa,Wheat,2009,115.1,-0.07934730443129101
Southern Africa,Wheat,2010,85.17,-0.2600347523892267
Southern Africa,Wheat,2011,118.8,0.39485734413525875
Southern Africa,Wheat,2012,112.91,-0.04957912457912461
Southern Africa,Wheat,2013,110.5,-0.021344433619697067
Southern Africa,Wheat,2014,103.17,-0.0663348416289593
Southern Africa,Wheat,2015,84.82,-0.17786178152563736
Southern Africa,Wheat,2016,112.01,0.32056118839896275
Southern Africa,Wheat,2017,90.22,-0.19453620212481038
